ESTABLISHMENTNAME,EXACT LOCATION,STREETADDRESS,SUBURB,TOWNNAME,POSTALADDRESS,PHONE,PRINCIPALECONOMIC ACTIVITY
ADOM WO WIM FURNITURES,MANAGOASE TRAFFIC LIGHT ADJACENT AKWAABA STORES,OBUASI HIGH STREET,MANGOASE,OBUASI,,243130160,Manufacture of furniture
ADOMAKO ANTWI SHOP,BOGOBIRI ADJACENT ONE DAY SHOP,BOGOBIRI ROAD,BOGOBIRI,OBUASI,,242827503,Other activities auxiliary to financial service activities
ADOMBI KEKE ENTERPRISE,ADJACENT MISS TAILOR'S STOERY BUILDING,AKROKERRI ROAD (HILL TOP),MANGOASE -OBUASI,OBUASI,,242742995,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADU'S ENTERPRISE,BEHIND THE CENTRAL SLAUGTER HOUSE,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,244519108,"Manufacture of wearing apparel, except fur apparel"
ADVENTIST PREPARATORY SCHOOL,BESIDE JUSBRO FILLING STATION,,KUNKA,OBUASI,"P. O. BOX 170, OBUASI",242101459,Pre-primary and primary education
ADWOA ABRAFI'S PROVISIONS STORE,ADJACENT DEKYEWAA M/A SCHOOL,,DEKYEWA,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADWOA AMPONSAH'S STORE,STORE NO. 45 ON OBUASI CENTRAL ROAD,CENTRAL ROAD,OBUASI CENTRAL,OBUASI,,NULL,Retail sale of textiles in specialized stores
ADWOA ATTA'S SHOP,BEHIND THE TOWN HALL BUILDING,AFUA AFRIFAA III ROAD,OBUASI CENTRAL,OBUASI,,271340820,"Retail sale of clothing, footwear and leather articles in specialized stores"
ADWOA FASHION,"AT GAUSU MARKET, ADJACENT CONSTANCE BOFOWAA",MARKET LANE,GAUSU,OBUASI,,272440356,"Manufacture of wearing apparel, except fur apparel"
ADWOA FREMA'S STORE,BESIDE MARIAMA ADAM'S SHOP,PAMPROM MARKET ROAD,PAMPROM,OBUASI,,542543927,Retail sale of food in specialized stores
ADWOA NYARKO BEAUTY SALON,OPPOSITE JEHOVA WITNESS CHURCH,ABUSCO ROAD,AKAPORISO,OBUASI,,548520823,Hairdressing and other beauty treatment
ADWOA SAAH'S SHOP,OPPOSITE JUSBRO FILLING STATION,KUMASI-DUNKWA ROAD,KUNKA,OBUASI,,NULL,Other retail sale in non-specialized stores
ADWOA SAFOWAA STORE,BEHIND FRANCIS CUDJO LOTTO RING KIOSK,NANA PONKO ROAD,KUNKA,OBUASI,,209191393,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
ADWOA TIWAA'S ENTERPRISE,BEHIND ADOM ARA KWA ENTERPRISE,ABUSCO ROAD,AKAPORISO,OBUASI,,541346164,Other retail sale of new goods in specialized stores
ADWOA'S BEAUTY SALON,ADJACENT GLORY HOUR FEEDS VENTURES,,DOMEABRA,DOMEABRA,,249876870,Hairdressing and other beauty treatment
ADWOA'S STORE,STORE NO. 32 ON THE CENTRAL STATION ROAD,CENTRAL ROAD,OBUASI CENTRAL,OBUASI,,NULL,"Retail sale of clothing, footwear and leather articles in specialized stores"
ADWOA'S STORE,ADJACENT SATIAGO'S NIGHT CLUB,,CENTRAL,OBUASI,,203199732,"Retail sale of clothing, footwear and leather articles in specialized stores"
ADWOAB ANOKYEWAH'S ENTERPRISE,OPPOSITE KOSOVO BAR,AKAPORISO MAIN ROAD,AKAPORISO,OBUASI,,201916487,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AFB GHANA-OBUASI BRANCH,ADJACENT PEEVIC VENTURES,OBUASI HIGH STREET,GAUSU,OBUASI,,248969388,Other credit granting
AFEICA BARBER HAIR FASHION,HOUSE NO. PLOT BC 1,12 AKWASI OBENG ROAD,BIDIESO,OBUASI,,545112532,Hairdressing and other beauty treatment
AFFIAMOAH PETER ENTERPRISE,BEHIND JEHOVA WITNESS CHURCH,ABUSCO ROAD,AKAPORISO,OBUASI,,248833132,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AFIA AMOAKUWAAH'S ENTERPRISE,OPPOSITE JUSBRO FILLING STATION,OBUASI-KUMASI ROAD,KUNKA,OBUASI,,NULL,Retail sale of food in specialized stores
AFIA AMPONSAH'S SHOP,BEHIND NANA BONSU'S HOUSE,,KUNKA,OBUASI,,245623478,"Manufacture of wearing apparel, except fur apparel"
AFIA ANKAYE'S STORE,AFIA ANKAYE STORE NEAR THE MARKET SHED,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,242211732,"Retail sale of hardware, paints and glass in specialized stores"
AFIA BIO'S SHOP,BEHIND TOWN HALL BUILDING,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,"P. O. BOX B 31, OBUASI",NULL,Retail sale of food in specialized stores
AFIA MANSAH'S PROVISIONS STORE,BESIDES OBAAPA CANTEEN,,KWABENAKWA,KWABENAKWA,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AFIA POKUA SHOP,BEHIND KUMASI LORRY STATION ON THE ROAD SIDE,CENTRAL RAOD,CENTRAL MARKET,OBUASI,,266105954,Other retail sale in non-specialized stores
AFIA POKUA'S SHOP,ADJACENT PANOS SECURITY SERVICES,PANOS ROAD,NYAME SO,OBUASI,,245878677,Hairdressing and other beauty treatment
AFIA YALEBOMMA ENTERPRISE,ABUSCO LORRY STATION BEHIND ADJACENT COSMETICS,ABUSCO ROAD,AKAPORISO,OBUASI,,245636079,Retail sale of food in specialized stores
AFIA'S BEAUTY SALON,ANYINAM ROUND ABOUT ADJACENT KAMAY RESTAURANT,ANYINAM ROAD,ANYINAM ROUND ABOUT,OBUASI,,243749804,Hairdressing and other beauty treatment
AFIBI'S CORN MILL,"ANYINAMFIE, ADJACENT ANYINAM QUARTERS",ANYINAMFIFE ROAD,ANYINAMEFIE,OBUASI,,244111177,Manufacture of grain mill products
AFIYA MANSAH DRINKING SPOT,ADJACENT YAA ADU'S PROVISIONS STORE,,ASAASI,OBUASI,,NULL,Beverage serving activities
AFRICAN BURGER SPOT,OPPOSITE AGARTHA BONIFAY'S BEAUTY SALON,DIAWUOSO ROAD,KWAME DUAKROM,KWAME DUAKROM,,NULL,Beverage serving activities
AFRICAN FAITH CHURCH,BEHIND ZAIN MAST (AIRTEL),,AKAPORISO,OBUASI,,246966886,Activities of religious organizations
AFRICAN FAITH TABERNACLE CHURCH,BEHIND ANYINAM METHODIST PRIMARY B,ANYINAMFIE ROAD,ANYINAMFIE,OBUASI,"P. O. BOX 1362, OBUASI",246596718,Activities of religious organizations
AFRICAN MARKET,ADJACENT HOUSE NO NN 18,AKWASI OBENG ROAD,NEW NSUTA,OBUASI,,275023357,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AFRICAN PRIDE SALON,OPPOSITE IGS FINANCIAL,GOLF COURSE ROAD,ZONGO-OBUASI,OBUASI,,546226173,Hairdressing and other beauty treatment
AFRIFA ENTERPRISE,ON THE CURVE TO SECONDARY TECHNICAL JUNCTION,OBUASI HIGH STREET,KOFFEKROM,OBUASI,,249328251,Other retail sale in non-specialized stores
AFRIKCIKO SPOT,OPPOSITE A.G.A SCHOOL,OBUASI HIGH STREET,KOFFEKROM,OBUASI,,NULL,Beverage serving activities
AFRIYIE FASHION SALON,OPPOSITE NKAPROM INFORMATION CENTER,TEMA ROAD,TEMA HOUSE,BOGOBIRI,,548400122,Hairdressing and other beauty treatment
AFRIYIE SIAW'S LOTTO KIOSK,OPPOSITE AMAZING GRACE,,BOGOBIRI,BOGOBIRI,,NULL,Gambling and betting activities
AFUA ADUTWUMWAA'S STORE,OPPOSITE THE CATHOLIC CHURCH INFORMATION CENTRE,SANSO MAIN ROAD,SANSO,OBUASI,,242817570,Retail sale of food in specialized stores
AFUA OWUSUAA'S PROVISIONS STORE,ADJACENT PENTECOST CHURCH,BINSERE ROAD,KUNKA,OBUASI,,231258804,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AFUA POKUAA'S PROVISIONS STORE,OPPOSITE GLEE OIL FILLING STATION,BINSERE ROAD,KUNKA,OBUASI,,246858619,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AGA MUSLIMS WORKERS ASSOCIATION,"PLOT NO. ZO 29B, ZONGO",90 OBUASI HIGH STREET,ZONGO,OBUASI,,244457402,Other social work activities without accommodation
AGA PEE COLD STORE,BEHIND DIVINE SOULS CLINIC,DIVINE SOULS ROAD,AKAPORISO,OBUASI,,242947608,Retail sale of food in specialized stores
AGARTHA BONIFOY'S BEAUTY SALON,OPPOSITE OPANIN BIO'S HOUSE,DIAWUOSO ROAD,KWAME DAUKROM,KWAME DUAKROM,,NULL,Hairdressing and other beauty treatment
AGARTHA'S SHOP,ADJACENT ADOM ENTERPRISE,GAUSU ROAD,KULAM,OBUASI,"P. O. BOX 803, OBUASI",242053297,Wholesale of other household goods
AGENS OWUSU'S STORE,"STORE NO. 65, ON ANTWI SAMPA DRIVE",ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,543224595,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
AGGREY'S TV REPAIRING SHOP,"NEW RHAMEA, ADJACENT OBUASI GOVERNMENT HOSPTIAL",MENSAKROM ROAD,GAUSU,OBUASI,,245816149,Repair of consumer electronics
AGINGO ENTERPRISE,OPPOSITE THE CENTRAL MOSQUE,CENTRAL STATION ROAD,NEW NSUTA,OBUASI,,242211227,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores"
AGNES AFARI'S STORE,BEHIND AKUA BONSUA WALK STORE NO. 2,AKUA BONSUA WALK,CENTRAL MARKET,OBUASI,,248371290,"Retail sale of clothing, footwear and leather articles in specialized stores"
AGNES AKO'S SHOP,OPPOSITE THE METHODIST CHURCH,,KUNKA,OBUASI,,279137911,"Retail sale of hardware, paints and glass in specialized stores"
AGNES AMPONSAH'S ENTERPRISE,OPPOSITE PAULINA OHEME'S BEAUTY SALON,,ODUMASI,OBUASI,,241130509,Retail sale of food in specialized stores
AGNES AMPONSEM STORE,"BEHIND TOWN HALL, STORE NO. 90",ANTWI SAMPA DRVIE,CENTRAL MARKET,OBUASI,,209022761,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
AGNES ANOBEL'S PROVISIONS STORE,BEHIND HOUSE NO. KNT 50 A,BINSERE ROAD,KUNKA,OBUASI,,574159913,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AGNES ANOKYE'S SHOP,BEHIND WHITE HOUSE ON ODOTOBRI RURAL BANK ROAD,ODOTOBRI RURAL BANK ROAD,CENTRAL,OBUASI,,240760544,"Wholesale of food, beverages and tobacco"
AGNES ARTHUR'S STORE,STORE NO. 70 OPPOSITE STORE NO. 8,CENTRAL MARKET ROAD,OBUASI CENTRAL MARKET,OBUASI,,244224381,Retail sale of textiles in specialized stores
AGNES BAIDU'S STORE,"BEHIND TOWN HALL, BUILDING NEAR CECILIATABOWAA'S SHOP",ANTWI SAMPA DRIVE,CENTRAL MARKET,OBUASI,,547720382,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
AGNES BEAUTY SALON,"NANKABA JUCTION, ADJACENT NANKABA CHURCH",NANKABA ROAD,NANKABA JUNCTION,OBUASI,,542937254,Hairdressing and other beauty treatment
AGNES BEAUTY SALON,"NANKABA JUCTION, ADJACENT NANKABA CHURCH",NANKABA ROAD,NANKABA JUNCTION,OBUASI,,542937254,Hairdressing and other beauty treatment
AGNES BEAUTY SALON,BEHIND JEN AND CO. HERBAL SHOP,AKWASI OBENG ROAD,NEW NSUTA,OBUASI,,506172165,Hairdressing and other beauty treatment
AGNES BEAUTY SALON,BEHIND JEN AND CO. HERBAL SHOP,AKWASI OBENG ROAD,NEW NSUTA,OBUASI,,506172165,Hairdressing and other beauty treatment
AGNES DANSO'S DRESS MAKING SHOP,ADJACENT FRANCISCA'S SHOP,NANA PONKO SCHOOL ROAD,KUNKA,OBUASI,,246565043,"Manufacture of wearing apparel, except fur apparel"
AGNES DONKOR'S PROVISIONS STORE,ADJACENT CATHOLIC INFORMATION CENTRE,SANSO MAIN ROAD,SANSO,OBUASI,,243524135,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AGNES ENTERPRISE,OPPOSITE ONE DAY BUILDING,KUMASI-OBUASI ROAD,BOGOBIRI,BOGOBIRI,"P. O. BOX 1097, OBUASI",244154047,"Retail sale of hardware, paints and glass in specialized stores"
AGNES FOSUA'S ENTERPRISE,ON THE LANE LEADING TO THE ODIKURO'S HOUSE BEHINDTAWIAH VENTURES,,KUNKA,OBUASI,,207407249,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AGNES OPOKU'S SHOP,"BEHIND TAXI STATION BAR, STORE NO. 5",CENTRAL ROAD,CENTRAL MARKET,OBUASI,"P. O. BOX 4, OBUASI",243155844,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
AGNES OWUSU'S PROVISION STORE,BEHIND GRANT'S MILLING CENTRE,KWABENAKWA ROAD,ASONKORE NEW SITE,ASONKORE,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AGNES SAMPSON'S STORE,OPPOSITE VERSSER BOSS BARBERING SALON,KWASI OBENG ROAD,NEW NSUTA,OBUASI,,242207906,Other retail sale of new goods in specialized stores
AGNES SARFO'S SHOP,OPPOSITE CENTRAL TOWN HALL BUILDING,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,242503026,Other retail sale in non-specialized stores
AGNESS AMOAKO PROVISION STORE,"MENSAKROM, ADJACENT K. AMFO HERBAL SHOP",MENSAKROM ROAD,GAUSU,OBUASI,,547251427,Retail sale of food in specialized stores
AGONA NANA SPOT,ADJACENT SISTER AFIA'S SALON,BOSSMAN STREET,BOSSMAN,OBUASI,,243157638,Beverage serving activities
AGYA BOAH'S SHOP,ADJACENT PUMING BOREHOLE,AGA PRIMARY ROAD,KOFFEKROM,OBUASI,,277832411,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AGYA OWUSU'S SHOP,ADJACENT PAA AKWASI'S BARBERING SHOP,BOSSMAN STREET,BOSMAN,OBUASI,,249512241,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AGYA OWUSU'S STORE,ADJACENT THE SLAUGTER HOUSE,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,208225476,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AGYA OWUSU'S STORE,ADJACENT THE SLAUGTER HOUSE,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,208225476,"Retail sale of clothing, footwear and leather articles in specialized stores"
AGYA OWUSU'S STORE,INFRONT OF CENTRE VILLE TO WA PALACE,DUNKWA ROAD,NHYIAESO,OBUASI,"P. O. BOX 10, OBUASI",247464661,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AGYA OWUSU'S STORE,INFRONT OF CENTRE VILLE TO WA PALACE,DUNKWA ROAD,NHYIAESO,OBUASI,"P. O. BOX 10, OBUASI",247464661,"Retail sale of clothing, footwear and leather articles in specialized stores"
AGYA PA YE ENTERPRISE,OPPOSTE GODWIN'S CORN MILL,BIMSERE ROAD,KUNKA,OBUASI,,249977446,Other retail sale in non-specialized stores
AGYA TAILORING SHOP,OPPOSITE ANCHINI HOUSE,BOSSMAN STREET,BOSSMAN,OBUASI,,543553712,Repair of other personal and household goods
AGYANA ADOM ARAKWA SHOP,BEHIND AMPOFO BERIMA WALK,AMPOFO BERIMA WALK,ANTOBUASI,OBUASI,,246557950,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AGYAPONG ELECTRICALS SHOP,ADJACENT MARTIN TUFFOUR PHARMACY,BOSSMAN ROAD,BOSSMAN,OBUASI,"P. O. BOX 262, OBUASI",245185839,Repair of consumer electronics
AGYAPONG ENTERPRISE,ADJACENT ADOPEI ENTERPRISE,BOSSMAN STREET,BOSSMAN,OBUASI,"P. O. BOX 262, OBUASI",265432551,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AGYAPONG FREDRICK'S SHOP,OPPOSITE NYIRA KNA BOAFOO PROVISIONS STORE,BINSERE ROAD,KUNKA,OBUASI,"P. O. BOX 678, OBUASI",249214909,"Manufacture of wearing apparel, except fur apparel"
AGYASCO FRIDAY NIGHT CLUB,OPPOSITE ROMAN CATHOLIC SCHOOL,,MAMPANHWE,MAMPANHWE,,547269181,Retail sale of beverages in specialized stores
AGYEI ELECTRICAL SHOP,SPEAKERS ADJACENT BJS 1 OPPOSITE MN 3,DOMPOASE WALK,NEW NSUTA,OBUASI,,243826624,Repair of household appliances and home and garden equipment
AGYEI ELECTRICAL SHOP,BEHIND BOETE MARKET,BRYANT MISSION HOSPITAL ROAD,BOETE MARKET,OBUASI,,249404666,Repair of household appliances and home and garden equipment
AGYEI FURNITURES,OPPOSITE CHAIRMAN'S BASE SPOT,,KWBENAKWA,KWABENAKWA,,509470161,Manufacture of furniture
AGYEKUMWAA FASHION DESIGN,OPPOSITE GLORY HOUR FEEDS VENTURES,,DOMEABRA,DOMEABRA,,249984125,"Manufacture of wearing apparel, except fur apparel"
AGYEMANG GASS,ADJACENT WISEMAN ENTERPRISE,DUNKWAN ROAD,KUNKA,OBUASI,"P. O. BOX 481, OBUASI",243130146,Other retail sale of new goods in specialized stores
AGYEMANG'S STORE,STORE NO. 86 OPPOSITE OBUASI KUMASI STATION,OBUASI CENTRAL ROAD,OBUASI CENTRAL,OBUASI,,245149650,"Retail sale of clothing, footwear and leather articles in specialized stores"
AGYENGO SPOT,OPPOSITE CHRIST THE KING HIGH SCHOOL,AKAPORISO MAIN ROAD,AKAPORISO,OBUASI,,246070818,Beverage serving activities
AHENFIE SHOE MAKING,OPPOSITE MANGOASE OLD CEMETRY,OBUASI HIGH STREET,GAUSU,OBUASI,,NULL,Manufacture of footwear
AHENFIE SPECIAL STORE,ADJACENT METHODIST SCHOOL ON OBUASI HIGH STREET,OBUASI HIGH STREET,ANTOBOASI,OBUASI,"P. O. BOX 173, METHODIST CHURCH",248849254,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AHMADIYYA GOLDEN GATE ACADEMY,OPPOSITE ASONKORE BUS STOP,KWABENAKWA ROAD,ASONKORE,ASONKORE,"P. O. BOX 7, FOMENA",244749543,Pre-primary and primary education
AHMED OSEI ADAMA'S SHOP,OPPOSITE ADANSI RURAL BANK,BEATRICE PRAH DRIVE,NEW NSUTA,OBUASI,"P. O. BOX 431, OBUASI",205812645,Retail sale of audio and video equipment in specialized stores
AHOBRASEE MA NHYIRA FASHION,OPPOSITE F.K. ANANE CHEMICAL SHOP,ABUSCO ROAD,AKAPORISO,OBUASI,,549100077,"Manufacture of wearing apparel, except fur apparel"
AHOFE NTOASO SALON,ADJACENT COMFORT'S STORE,NYAMESO ROAD,KUNSA JUNCTION,OBUASI,,NULL,Hairdressing and other beauty treatment
AISHATU ABDUL RAHMAN PROVISIONS STORE,INFRONT AISHATU'S HOUSE NO. GU54 B,,RAMIA,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AITA OSEI'S STORE,BEHIND CLUB 10 SPOT,,BOGOBIRI,OBUASI,,543645037,"Retail sale of clothing, footwear and leather articles in specialized stores"
AJARA BOUTIQUE,OPPOSITE HOUSE NUMBER NN 85,NEW NSUTA ROAD,NEW NSUTA,OBUASI,,279605452,"Retail sale of clothing, footwear and leather articles in specialized stores"
AJARA FUSENI'S SHOP,BEHIND ZONGO CHIEF'S HOUSE,EKUM BRAKOWAHA WALK,NEW NSUTA,OBUASI,,244433448,Other retail sale in non-specialized stores
AJARA'S COLLECTION,MANGO HOTEL JUNCTION ADJACENT REFORM HEALTHCENTRE,OBUASI HIGH STREET,MANGOASE,OBUASI,,242120517,"Retail sale of clothing, footwear and leather articles in specialized stores"
AJOWAA SERWAA'S SHOP,BEHIND TOWN HALL BUILDING,AFUA AFRIFAA III WALK,CENTRAL,OBUASI,,246180363,Other retail sale in non-specialized stores
AKASANOMA'S STORE,ADJACENT STATION SPOT DRINKING BAR,,ASONKORE,ASONKORE,,249484734,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AKONTAYERE SHOP,ADJACNET OWUSUA'S SHOP,ANYINAMFIE ROAD,ANYINMAFIE,OBUASI,"P. O. BOX 335, OBUASI",543976749,Retail sale of food in specialized stores
AKOS BEAUTY PRODUCTS,OPPOSITE SWEET MUMMY RESTAURANT AND SPOT,OBUASI-KUMASI ROAD,KUNKA,OBUASI,,242679573,Other retail sale in non-specialized stores
AKOS'S SHOP,RUMMY'S JUNCTION OPPOSITE METHODIST CHURCH,,KUNKA,OBUASI,,NULL,"Manufacture of wearing apparel, except fur apparel"
AKOSUA ATAA'S TAILORING SHOP,"BEHIND THE MARKET, BESIDE FIGO PHONES AND ACCESSORIES",BINSERE ROAD,KUNKA,OBUASI,,245360904,"Manufacture of wearing apparel, except fur apparel"
AKOSUA GYAMFUA EGGS STORE,BEHIND GODWIN CORN-MILL,BINSERE ROAD,KUNKA,OBUASI,,242950277,"Wholesale of food, beverages and tobacco"
AKOSUA KONTO'S ENTERPRISE,BEHIND AFIYA MANSAH'S DRINKING SPOT,,ADAASI,OBUASI,,502213552,Retail sale of food in specialized stores
AKOSUA KYRAA'S FASHION,"AT GAUSU MARKET,OPPOSITE MARY POKUAA'S HAIRSALON",MARKET LANE,GAUSU,OBUASI,,NULL,"Manufacture of wearing apparel, except fur apparel"
AKOSUA NYARKO'S SHOP,ADJACENT GREAT PLUMBING ENTERPRISE,BOGOBIRI MAIN ROAD,BOGOBIRI,OBUASI,"P. O. BOX 385, OBUASI",544969790,"Other retail sale not in stores, stalls or markets"
AKOSUA'S SHOP,ADJACENT MERCY'S SHOP,ANYINAMFIE ROAD,ANYINAMFIE,OBUASI,,NULL,Other retail sale of new goods in specialized stores
AKUA AMOASIWAA CHOP BAR,OPPOSITE HOUSE NO. 362,ABU BONSRA WALK,BOUASI CENTRAL,OBUASI,,244414258,Restaurants and mobile food service activities
AKUA ASANTEWAA'S STORE,OPPOSITE HOUSE N/A 911/A,BOSSMAN STREET,BOSSMAN,OBUASI,,249645909,Retail sale of food in specialized stores
AKUA BOAKYEWAA AMPOFO'S BEAUTY SALON SHOP,BESIDES ABU BONSRA ROAD CLOSE TO SILENCE HOTEL,ABU BONSRA I ROAD,CENTRAL,OBUASI,"P. O. BOX 1, OBUASI",248464631,Hairdressing and other beauty treatment
AKUA FREMAH'S SHOP,ADJACENT SANTIAGO SPOT,VICTORIA GARDENS ROAD,KOFFEKROM EXTENSION,OBUASI,,249162877,Other retail sale in non-specialized stores
AKUA GYAMFUAA ENTERPRISE,BEHIND ADOM ARA KWA ENTERPRISE,ABUSCO RAOD,AKAPORISO,OBUASI,,545208499,Retail sale of food in specialized stores
AKUA HENEWAA'S STORE,"BEHIND TOWN HALL AT THE STATION BAR, STORE NO.36",CENTRAL ROAD,CENTRAL MARKET,OBUASI,,242089181,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
AKUA KESEWAH ENTERPRISE,OPPOSITE DEVINE SOULS CLINIC,DEVINE SOULS CLINIC SOULS ROAD,AKAPORISO,OBUASI,,243960238,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AKUA MUMUNI'S STORE,KOMFO AMATE'S HOUSE,,KUNKA,OBUASI,,246698648,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AKUA NYAMEKYE'S STORE,OPPOSITE THE TOWN BUILDING,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,244244415,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
AKUA PITO BAR,STADIUM JUNCTION ADJACENT KALAMANDO SPOT,LOKO ROAD,BOGOBIRI,OBUASI,,NULL,Manufacture of wines
AKUA'S PHONES SHOP,BESIDES BARCLAYS BANK,MANGOASE BOGOBIRI STREET,BIDIESO,OBUASI,,NULL,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores"
AKUA'S PROVISIONS STORE,BEHIND  THE PUBLIC BATH,BIDIESO STREET,BIDIESO,OBUASI,,542821136,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AKUA'S SHOP,ADJACENT ALL TEMPERATURE VENTURES,ANYINAMFIE ROAD,ANYINAMFIE,OBUASI,,245362298,"Retail sale of clothing, footwear and leather articles in specialized stores"
AKUA'S STORE,"STORE NO. 58, ON THE ANTWI SAMPA DRIVE",ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,234769658,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
AKUABOLOBO SPOT,OPPOSITE ADOM ARA KWA ENTERPRISE,ABUSCO ROAD,AKAPORISO,OBUASI,,543965508,Beverage serving activities
AKUAFOO ADAMFO COCOA BUYING COMPANY,OPANIN KOFI YAAFI'S HOUSE,AS/9,ASAASE MAMPANHWE,MAMPANHWE,,244245769,"Wholesale of food, beverages and tobacco"
AKUBA'S FASHION DESGIN,BEHIND THE MARKET AT KWABENAKWA,MARKET STREET,KWABENAKWA SEBENSO,KWABENAKWA,,241721607,"Manufacture of wearing apparel, except fur apparel"
AKWAABA SALON,BETWEEN PLOTS BC 1 AND BC 2,10 AKWASI OBENG ROAD AND 10 DOMPOASE,NEW NSUTA,OBUASI,,275546869,Hairdressing and other beauty treatment
AKWAABA STORE,MANGOASE TRAFFIC LIGHT ADJACENT DANC PLUMBINGENT.,OBUASI HIGH STREET,MANGOASE,OBUASI,,246827919,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AKWAABA STORE,STORE NO. 19,CENTRAL MARKET ROAD,CENTRAL MARKET,OBUASI,"P. O. BOX 22, OBUASI",249827616,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
AKWAI ALLAH  MOSQUE,BEHIND PRESBY CHURCH ASCENSION'S MISSION HOUSE,OBUASI HIGH STREET,ZONGO,OBUASI,,243836040,Activities of religious organizations
AKWASI ATTA LEATHER SHOP,BEHIND APOSTOLIC CHURCH,APOSTOLIC CHURCH,AKAPORISO,OBUASI,,547444241,Manufacture of footwear
